time,x,y,z
0,-0.0004900000058114529,0.021858999505639076,0.013098999857902527
1,-0.029485000297427177,0.04478299990296364,-0.007247000001370907
2,0.0020620001014322042,0.016333000734448433,0.03544500097632408
3,0.001395000028423965,0.02615400031208992,0.014224999584257603
4,0.0034970000851899385,0.011787000112235546,0.015409000217914581
5,-0.011145000346004963,0.012698999606072903,0.013964000158011913
6,-0.0026140001136809587,0.025637999176979065,-0.025817999616265297
7,-0.01235199999064207,0.024692999199032784,-0.010696999728679657
8,0.0021329999435693026,0.011651000007987022,0.002005999907851219
9,-0.0002579999854788184,0.026083000004291534,0.014337999746203423
